Title,Type,Series,Publisher,Year,ISSN,ISBN,DOI,Affiliation
Review of <i>Ascension and Ecclesia: On the Significance of the Doctrine of the Ascension for Ecclesiology and Christian Cosmology</i> by Douglas Farrow,journal-article,Religious Studies and Theology,Equinox Publishing,2015,0829-2922,,https://doi.org/10.1558/rsth.v22i1.101,University of Waterloo
Being Hindu in Canada: Personal Narratives from First and Second Generation Immigrant Hindu Women,journal-article,Religious Studies and Theology,Equinox Publishing,2015,0829-2922,,https://doi.org/10.1558/rsth.v23i1.55,University of Waterloo
“And Take Your Invisible Friends with You:” Atheist Comedy and Religious Conversation (May Contain Offensive Language),journal-article,Bulletin for the Study of Religion,Equinox Publishing,2015,2041-1863,,https://doi.org/10.1558/bsor.v42i3.32,"Renison University College, University of Waterloo"
Perceptions of bilingual competence and preferred language direction in Auslan/English interpreters,journal-article,Journal of Applied Linguistics and Professional Practice,Equinox Publishing,2015,2040-3658,,https://doi.org/10.1558/japl.v2.i2.185,University of Waterloo Ontario
Multiple imputation for the analysis of incomplete compound variables,journal-article,Canadian Journal of Statistics,Wiley,2015,0319-5724,,https://doi.org/10.1002/cjs.11249,"Department of Statistics and Actuarial Science; University of Waterloo; Waterloo, Ontario, Canada N2L 3G1"
A Reliability-Oriented Local-Area Model for Large-Scale Wireless Sensor Networks,journal-article,Mathematical Problems in Engineering,Hindawi Limited,2015,1024-123X,,https://doi.org/10.1155/2015/923692,"University of Waterloo, Waterloo, ON, Canada N2L 3G1"
Cluster-based coordination scheme for cooperative cognitive radio networks,journal-article,Wireless Communications and Mobile Computing,Wiley,2015,1530-8669,,https://doi.org/10.1002/wcm.2585,Department of Electrical and Computer Engineering; University of Waterloo; 200 University Avenue West Waterloo N2L 3G1 ON Canada
Phototransistors: Giant Photoamplification in Indirect-Bandgap Multilayer MoS2Phototransistors with Local Bottom-Gate Structures (Adv. Mater. 13/2015),journal-article,Advanced Materials,Wiley,2015,0935-9648,,https://doi.org/10.1002/adma.201570087,Department of Electrical and Computer Engineering and Waterloo Institute for Nanotechnology (WIN); University of Waterloo; Waterloo ON N2L 3G1 Canada
Winter habitat use of greater sage-grouse relative to activity levels at natural gas well pads,journal-article,The Journal of Wildlife Management,Wiley,2015,0022-541X,,https://doi.org/10.1002/jwmg.877,Department of Environment and Resource Studies; University of Waterloo; Waterloo ON Canada N2L 3G1
An Examination of CANDU Fuel Performance Margins Derived from a Statistical Assessment of Industrial Manufacturing Data,journal-article,Nuclear Technology,Informa UK Limited,2015,0029-5450,,https://doi.org/10.13182/nt13-126,"University of Waterloo, Department of Civil and Environmental Engineering, 200 University Avenue West, Waterloo, Ontario, Canada, N2L 3G1"
Correction: Elevated rate capability of sulfur wrapped with thin rGO layers for lithium–sulfur batteries,journal-article,RSC Advances,Royal Society of Chemistry (RSC),2015,2046-2069,,https://doi.org/10.1039/c5ra90035b,University of Waterloo
Finite Element Study of Residual Stresses in a plate T-Joint Fatigue Specimen,journal-article,"Proceedings of the Institution of Mechanical Engineers, Part C: Mechanical Engineering Science",SAGE Publications,2007,0263-7154,,https://doi.org/10.1243/pime_proc_1990_204_086_02,"Department of Mechanical Engineering, University of Waterloo, Ontario, Canada"
On the Scattering of Waves in a Non-Uniform Euler-Bernoulli Beam,journal-article,"Proceedings of the Institution of Mechanical Engineers, Part C: Mechanical Engineering Science",SAGE Publications,2007,0263-7154,,https://doi.org/10.1243/pime_proc_1991_205_088_02,"Department of Civil Engineering, University of Waterloo, Waterloo, Ontario, Canada"
Response of a Non-Linear System to Pulse Excitation,journal-article,Journal of Mechanical Engineering Science,SAGE Publications,2007,0022-2542,,https://doi.org/10.1243/jmes_jour_1964_006_006_02,"Department of Civil Engineering, University of Waterloo, Waterloo, Ontario, Canada."
Thermal Model for the Fluidity of Metals in Casting,journal-article,Journal of Mechanical Engineering Science,SAGE Publications,2007,0022-2542,,https://doi.org/10.1243/jmes_jour_1966_008_013_02,"Associate Professor of Mechanical Engineering, Department of Mechanical Engineering, University of Waterloo, Waterloo, Ontario. Graduate of the Institution."
Surface Geometry of the Human Ankle Joint,journal-article,Engineering in Medicine,SAGE Publications,2007,0046-2039,,https://doi.org/10.1243/emed_jour_1983_012_008_02,"Department of Mechanical Engineering, University of Waterloo, Canada"
Research Note: Limit Loads of Cylindrical Shells under Band Pressures,journal-article,Journal of Mechanical Engineering Science,SAGE Publications,2007,0022-2542,,https://doi.org/10.1243/jmes_jour_1974_016_063_02,"Research Student, Department of Civil Engineering, University of Waterloo, Ontario, Canada"
A Theoretical Model for Steady Electroviscous Flow between Parallel Plates,journal-article,Journal of Mechanical Engineering Science,SAGE Publications,2007,0022-2542,,https://doi.org/10.1243/jmes_jour_1974_016_042_02,"University of Waterloo, Ontario, Canada"
Hydrophilic Polyurethane Elastomers for Hemiarthroplasty: A Preliminary in Vitro Wear Study,journal-article,Engineering in Medicine,SAGE Publications,2007,0046-2039,,https://doi.org/10.1243/emed_jour_1980_009_016_02,"Professor, Department of Mechanical Engineering, University of Waterloo, Canada"
Research Article: A Social Capital Assessment of Canadian Community's Water Management Strategy,journal-article,Environmental Practice,Informa UK Limited,2010,1466-0466,,https://doi.org/10.1017/s1466046610000220,"Department of Environment and Resource Studies, University of Waterloo, Waterloo, Canada"
"Hand, Eye, and Head Coordination While Pointing to Perturbed Targets",journal-article,Journal of Motor Behavior,Informa UK Limited,2010,0022-2895,,https://doi.org/10.1080/00222895.1994.9941668,"a   Department of Kinesiology , University of Waterloo ,  USA"
"Science and the Magic Eye: Innovations in the Selection of Canadian Army Officers, 1939-1945",journal-article,Armed Forces & Society,SAGE Publications,2007,0095-327X,,https://doi.org/10.1177/0095327x9502200207,"University of Waterloo, Ontario, Canada"
"A new method for the quantitative identification of the composition, size and density of stratospheric aerosols from high resolution IR satellite measurements",journal-article,Geophysical Research Letters,American Geophysical Union (AGU),2002,0094-8276,,https://doi.org/10.1029/2002gl015816,Department of Chemistry; University of Waterloo; Waterloo Ontario N2L 3G1 Canada
China and Prolifera tion: Implications for India,journal-article,China Report,SAGE Publications,2007,0009-4455,,https://doi.org/10.1177/000944559803400309,"University of Waterloo, Waterloo, Ontario, Canada N2L3G1.E-mail: &lt;&gt;"
Properties of Glass Fibre Reinforced Flexible Urethane Foam,journal-article,Journal of Cellular Plastics,SAGE Publications,2007,0021-955X,,https://doi.org/10.1177/0021955x7501100104,"University of Waterloo Department of Mechanical engineering Waterloo, Ontario, Canada"
The child's knowledge of English kin terms,journal-article,First Language,SAGE Publications,2007,0142-7237,,https://doi.org/10.1177/014272378700701903,University of Waterloo
“Cover your Tracks”,journal-article,Journal of Business and Technical Communication,SAGE Publications,2007,1050-6519,,https://doi.org/10.1177/1050651996010002003,University of Waterloo
Book Reviews,journal-article,Journal of Business and Technical Communication,SAGE Publications,2007,1050-6519,,https://doi.org/10.1177/1050651998012003008,University of Waterloo
A Comparative Study of Generalized Coordinates for Solving the Inverse- Kinematics Problem of a 6R Robot Manipulator,journal-article,The International Journal of Robotics Research,SAGE Publications,2007,0278-3649,,https://doi.org/10.1177/027836498600500405,"University of Waterloo Waterloo, Ontario, Canada N2L 3G1"
Communication,journal-article,The International Journal of Robotics Research,SAGE Publications,2007,0278-3649,,https://doi.org/10.1177/027836499701600410,"University of Waterloo Department of Electrical and Computer Engineering Waterloo, Ontario Canada, N2L 3G1"
Some Economic Aspects in the Decline of Friendly Societies in the Windward Islands *,journal-article,Journal of Voluntary Action Research,SAGE Publications,2007,0094-0607,,https://doi.org/10.1177/089976407700600310,"Department of Economics University of Waterloo Waterloo,Ontario, Canada"
"Comparison of the photoactivities of two commercial titanium dioxide powders in the degradation of 1,4-dioxane",journal-article,International Journal of Photoenergy,Hindawi Limited,2007,1110-662X,,https://doi.org/10.1155/s1110662x02000168,"Department of Chemical Engineering, University of Waterloo, Waterloo, Ontario, N2L 3G1, Canada"
Improving Probation Decisions through Statistical Training,journal-article,Criminal Justice and Behavior,SAGE Publications,2007,0093-8548,,https://doi.org/10.1177/0093854890017003009,University of Waterloo
Local-Global Partnerships for High-Tech Development: Integrating Top-Down and Bottom-Up Models,journal-article,Economic Development Quarterly,SAGE Publications,2007,0891-2424,,https://doi.org/10.1177/089124240101500204,University of Waterloo
Environmental Dispositions among School-Age Children,journal-article,Environment and Behavior,SAGE Publications,2007,0013-9165,,https://doi.org/10.1177/0013916585176004,"Faculty of Environmental Studies, University of Waterloo."
Book Reviews,journal-article,Environment and Behavior,SAGE Publications,2007,0013-9165,,https://doi.org/10.1177/0013916583155008,"Department of Geography, University of Waterloo"
Screening Clients for an Augmentative and Alternative Communication Clinic,journal-article,Evaluation & the Health Professions,SAGE Publications,2007,0163-2787,,https://doi.org/10.1177/016327879501800105,"Freeport Hospital, Kitchener, Ontario and University of Waterloo"
Modelling gravity-driven flow over uneven surfaces,proceedings-article,Advances in Fluid Mechanics VIII,WIT Press,2010,,9781845644765,https://doi.org/10.2495/afm100261,"Department of Applied Mathematics, University of Waterloo, Canada"
Book Review: Young People and Crime: Costs and Prevention,journal-article,International Criminal Justice Review,SAGE Publications,2007,1057-5677,,https://doi.org/10.1177/105756779200200117,University of Waterloo
Factors Associated with the Maintenance of Good Self-Rated Health,journal-article,Journal of Aging and Health,SAGE Publications,2007,0898-2643,,https://doi.org/10.1177/089826439300500105,University of Waterloo
NEW ETHNOGRAPHIES,journal-article,Journal of Contemporary Ethnography,SAGE Publications,2007,0891-2416,,https://doi.org/10.1177/089124190019002009,University of Waterloo
Interruptions in Adolescent Girls' Conversations,journal-article,Journal of Adolescent Research,SAGE Publications,2007,0743-5584,,https://doi.org/10.1177/0743554898133003,University of Waterloo
Predicting the Severity of Great Power War from Its Extent,journal-article,Journal of Conflict Resolution,SAGE Publications,2007,0022-0027,,https://doi.org/10.1177/0022002794038001010,University of Waterloo
NEW ETHNOGRAPHIES,journal-article,Journal of Contemporary Ethnography,SAGE Publications,2007,0891-2416,,https://doi.org/10.1177/089124192021003011,University of Waterloo
"On the ""Invention"" of Adolescence",journal-article,The Journal of Early Adolescence,SAGE Publications,2007,0272-4316,,https://doi.org/10.1177/0272431694014001002,University of Waterloo
Book Review,journal-article,Journal of Cross-Cultural Psychology,SAGE Publications,2007,0022-0221,,https://doi.org/10.1177/0022022180112010,"Department of Psychology, University of Waterloo, Waterloo, Ontario, Canada"
Planning Supported Housing,journal-article,Journal of Planning Education and Research,SAGE Publications,2007,0739-456X,,https://doi.org/10.1177/0739456x0202100308,"Queen’s University at Kingston, University of Waterloo, Canada"
"Taking Stock of Planning, Space, and Gender",journal-article,Journal of Planning Literature,SAGE Publications,2007,0885-4122,,https://doi.org/10.1177/088541229100600101,University of Waterloo.
